Type,Name,Max Volume C3 m,Max Weight Kg,Max working Hours,Fixed Cost,Per Km Cost
288,Chhota_Hathi,8,1000,9,2100,15
289,Bolero_Max,16,2000,11,3800,20
290,Bolero,12,1500,10,3200,20
291,Pickup,10,1200,9.5,2500,18
292,Chhota_Hathi,8,1000,9,2100,15
293,Bolero_Max,16,2000,11,3800,20
294,Bolero,12,1500,10,3200,20
295,Pickup,10,1200,9.5,2500,18
296,Chhota_Hathi,8,1000,9,2100,15
297,Bolero_Max,16,2000,11,3800,20
298,Bolero,12,1500,10,3200,20
299,Pickup,10,1200,9.5,2500,18
300,Chhota_Hathi,8,1000,9,2100,15
301,Bolero_Max,16,2000,11,3800,20
302,Bolero,12,1500,10,3200,20
303,Pickup,10,1200,9.5,2500,18
304,Chhota_Hathi,8,1000,9,2100,15
305,Bolero_Max,16,2000,11,3800,20
306,Bolero,12,1500,10,3200,20
307,Pickup,10,1200,9.5,2500,18
308,Chhota_Hathi,8,1000,9,2100,15
309,Bolero_Max,16,2000,11,3800,20
310,Bolero,12,1500,10,3200,20
311,Pickup,10,1200,9.5,2500,18
312,Chhota_Hathi,8,1000,9,2100,15
313,Bolero_Max,16,2000,11,3800,20
314,Bolero,12,1500,10,3200,20
315,Pickup,10,1200,9.5,2500,18
316,Chhota_Hathi,8,1000,9,2100,15
317,Bolero_Max,16,2000,11,3800,20
318,Bolero,12,1500,10,3200,20
319,Pickup,10,1200,9.5,2500,18
320,Chhota_Hathi,8,1000,9,2100,15
321,Bolero_Max,16,2000,11,3800,20
322,Bolero,12,1500,10,3200,20
323,Pickup,10,1200,9.5,2500,18
324,Chhota_Hathi,8,1000,9,2100,15
325,Bolero_Max,16,2000,11,3800,20
326,Bolero,12,1500,10,3200,20
327,Pickup,10,1200,9.5,2500,18
328,Chhota_Hathi,8,1000,9,2100,15
329,Bolero_Max,16,2000,11,3800,20
330,Bolero,12,1500,10,3200,20
331,Pickup,10,1200,9.5,2500,18
332,Chhota_Hathi,8,1000,9,2100,15
333,Bolero_Max,16,2000,11,3800,20
334,Bolero,12,1500,10,3200,20
335,Pickup,10,1200,9.5,2500,18
336,Chhota_Hathi,8,1000,9,2100,15
337,Bolero_Max,16,2000,11,3800,20
338,Bolero,12,1500,10,3200,20
339,Pickup,10,1200,9.5,2500,18
340,Chhota_Hathi,8,1000,9,2100,15
341,Bolero_Max,16,2000,11,3800,20
342,Bolero,12,1500,10,3200,20
343,Pickup,10,1200,9.5,2500,18
344,Chhota_Hathi,8,1000,9,2100,15
345,Bolero_Max,16,2000,11,3800,20
346,Bolero,12,1500,10,3200,20
347,Pickup,10,1200,9.5,2500,18
348,Chhota_Hathi,8,1000,9,2100,15
349,Bolero_Max,16,2000,11,3800,20
350,Bolero,12,1500,10,3200,20
351,Pickup,10,1200,9.5,2500,18
352,Chhota_Hathi,8,1000,9,2100,15
353,Bolero_Max,16,2000,11,3800,20
354,Bolero,12,1500,10,3200,20
355,Pickup,10,1200,9.5,2500,18
356,Chhota_Hathi,8,1000,9,2100,15
357,Bolero_Max,16,2000,11,3800,20
358,Bolero,12,1500,10,3200,20
359,Pickup,10,1200,9.5,2500,18
360,Chhota_Hathi,8,1000,9,2100,15
361,Bolero_Max,16,2000,11,3800,20
362,Bolero,12,1500,10,3200,20
363,Pickup,10,1200,9.5,2500,18
364,Chhota_Hathi,8,1000,9,2100,15
365,Bolero_Max,16,2000,11,3800,20
366,Bolero,12,1500,10,3200,20
367,Pickup,10,1200,9.5,2500,18
368,Chhota_Hathi,8,1000,9,2100,15
369,Bolero_Max,16,2000,11,3800,20
370,Bolero,12,1500,10,3200,20
371,Pickup,10,1200,9.5,2500,18
372,Chhota_Hathi,8,1000,9,2100,15
373,Bolero_Max,16,2000,11,3800,20
374,Bolero,12,1500,10,3200,20
375,Pickup,10,1200,9.5,2500,18
376,Chhota_Hathi,8,1000,9,2100,15
377,Bolero_Max,16,2000,11,3800,20
378,Bolero,12,1500,10,3200,20
379,Pickup,10,1200,9.5,2500,18
380,Chhota_Hathi,8,1000,9,2100,15
381,Bolero_Max,16,2000,11,3800,20
382,Bolero,12,1500,10,3200,20
383,Pickup,10,1200,9.5,2500,18
384,Chhota_Hathi,8,1000,9,2100,15
385,Bolero_Max,16,2000,11,3800,20
386,Bolero,12,1500,10,3200,20
387,Pickup,10,1200,9.5,2500,18
388,Chhota_Hathi,8,1000,9,2100,15
389,Bolero_Max,16,2000,11,3800,20
390,Bolero,12,1500,10,3200,20
391,Pickup,10,1200,9.5,2500,18
392,Chhota_Hathi,8,1000,9,2100,15
393,Bolero_Max,16,2000,11,3800,20
394,Bolero,12,1500,10,3200,20
395,Pickup,10,1200,9.5,2500,18
396,Chhota_Hathi,8,1000,9,2100,15
397,Bolero_Max,16,2000,11,3800,20
398,Bolero,12,1500,10,3200,20
399,Pickup,10,1200,9.5,2500,18
400,Chhota_Hathi,8,1000,9,2100,15
401,Bolero_Max,16,2000,11,3800,20
402,Bolero,12,1500,10,3200,20
403,Pickup,10,1200,9.5,2500,18
404,Chhota_Hathi,8,1000,9,2100,15
405,Bolero_Max,16,2000,11,3800,20
406,Bolero,12,1500,10,3200,20
407,Pickup,10,1200,9.5,2500,18
408,Chhota_Hathi,8,1000,9,2100,15
409,Bolero_Max,16,2000,11,3800,20
410,Bolero,12,1500,10,3200,20
411,Pickup,10,1200,9.5,2500,18
412,Chhota_Hathi,8,1000,9,2100,15
413,Bolero_Max,16,2000,11,3800,20
414,Bolero,12,1500,10,3200,20
415,Pickup,10,1200,9.5,2500,18
416,Chhota_Hathi,8,1000,9,2100,15
417,Bolero_Max,16,2000,11,3800,20
418,Bolero,12,1500,10,3200,20
419,Pickup,10,1200,9.5,2500,18
420,Chhota_Hathi,8,1000,9,2100,15
421,Bolero_Max,16,2000,11,3800,20
422,Bolero,12,1500,10,3200,20
423,Pickup,10,1200,9.5,2500,18
424,Chhota_Hathi,8,1000,9,2100,15
425,Bolero_Max,16,2000,11,3800,20
426,Bolero,12,1500,10,3200,20
427,Pickup,10,1200,9.5,2500,18
428,Chhota_Hathi,8,1000,9,2100,15
429,Bolero_Max,16,2000,11,3800,20
430,Bolero,12,1500,10,3200,20
431,Pickup,10,1200,9.5,2500,18
432,Chhota_Hathi,8,1000,9,2100,15
433,Bolero_Max,16,2000,11,3800,20
434,Bolero,12,1500,10,3200,20
435,Pickup,10,1200,9.5,2500,18
436,Chhota_Hathi,8,1000,9,2100,15
437,Bolero_Max,16,2000,11,3800,20
438,Bolero,12,1500,10,3200,20
439,Pickup,10,1200,9.5,2500,18
440,Chhota_Hathi,8,1000,9,2100,15
441,Bolero_Max,16,2000,11,3800,20
442,Bolero,12,1500,10,3200,20
443,Pickup,10,1200,9.5,2500,18
444,Chhota_Hathi,8,1000,9,2100,15
445,Bolero_Max,16,2000,11,3800,20
446,Bolero,12,1500,10,3200,20
447,Pickup,10,1200,9.5,2500,18
448,Chhota_Hathi,8,1000,9,2100,15
449,Bolero_Max,16,2000,11,3800,20
450,Bolero,12,1500,10,3200,20
451,Pickup,10,1200,9.5,2500,18
452,Chhota_Hathi,8,1000,9,2100,15
453,Bolero_Max,16,2000,11,3800,20
454,Bolero,12,1500,10,3200,20
455,Pickup,10,1200,9.5,2500,18
456,Chhota_Hathi,8,1000,9,2100,15
457,Bolero_Max,16,2000,11,3800,20
458,Bolero,12,1500,10,3200,20
459,Pickup,10,1200,9.5,2500,18
460,Chhota_Hathi,8,1000,9,2100,15
461,Bolero_Max,16,2000,11,3800,20
462,Bolero,12,1500,10,3200,20
463,Pickup,10,1200,9.5,2500,18
464,Chhota_Hathi,8,1000,9,2100,15
465,Bolero_Max,16,2000,11,3800,20
466,Bolero,12,1500,10,3200,20
467,Pickup,10,1200,9.5,2500,18
468,Chhota_Hathi,8,1000,9,2100,15
469,Bolero_Max,16,2000,11,3800,20
470,Bolero,12,1500,10,3200,20
471,Pickup,10,1200,9.5,2500,18
472,Chhota_Hathi,8,1000,9,2100,15
473,Bolero_Max,16,2000,11,3800,20
474,Bolero,12,1500,10,3200,20
475,Pickup,10,1200,9.5,2500,18
476,Chhota_Hathi,8,1000,9,2100,15
477,Bolero_Max,16,2000,11,3800,20
478,Bolero,12,1500,10,3200,20
479,Pickup,10,1200,9.5,2500,18
480,Chhota_Hathi,8,1000,9,2100,15
